date,renewable_share,fossil,nuclear,hydro,wind,solar,total_generation,price_actual,total_load_actual,temp_c,wind_speed
2017-05-17,0.3623752579467116,262898,121366,61237,109686,40453,614468,54.005833333333335,28463.625,21.339537321063407,1.7333333333333332
2017-05-18,0.45223401028648724,208777,121373,68618,150078,49100,616537,50.17,28239.333333333332,18.089672801636002,2.908333333333333
2017-05-19,0.3835648416360526,233045,121300,66302,84765,63372,586876,53.13166666666667,27762.833333333332,16.185598159509222,2.575
2017-05-20,0.3787020137797305,214287,121247,60542,74041,64029,552841,52.310833333333335,25126,18.012157464212677,2.3666666666666667
2017-05-21,0.4675139031996711,182766,118998,86560,149856,24620,581341,48.17041666666667,23361.666666666668,19.363803680981597,2.025
2017-05-22,0.36304026248196175,257820,121541,73023,82729,54064,607737,55.2875,27844.041666666668,20.78495143149285,2.1333333333333333
2017-05-23,0.4213481524468704,251409,121507,61127,144855,60142,658249,53.22375,28856.625,22.534588445807785,1.9166666666666667
2017-05-24,0.3796559695572413,270316,121403,73587,101914,57837,645408,54.64458333333334,29299.833333333332,23.592160020449917,1.95
2017-05-25,0.3333914807182286,321225,121140,91686,69101,53107,676442,58.99333333333333,29713.833333333332,24.316914621676908,1.925
2017-05-26,0.31231088671393203,335098,121361,76025,80997,42539,676182,58.620416666666664,29545.375,22.81876533742333,2.316666666666667
2017-05-27,0.40247422748008765,234231,121279,66529,123285,43811,610049,54.185,26413.5,22.97139314928427,2.1500000000000004
2017-05-28,0.42502528205985035,196627,121145,67815,134664,27464,568585,51.580416666666665,23892.75,22.237653374233147,2.5
2017-05-29,0.31677221451010734,294655,121150,90813,61339,33544,621677,58.18333333333333,28159.583333333332,21.488133946830285,2.2666666666666666
2017-05-30,0.2864433337668692,330182,121210,78424,48110,47439,645852,58.747083333333336,28704.166666666668,20.712528118609423,1.5416666666666665
2017-05-31,0.30228955858630296,326306,121110,68151,63039,55769,654624,59.2725,28913.166666666668,21.4379601226994,1.8166666666666667
2017-06-01,0.2858734533513165,307502,170383,74994,87187,21839,682120,60.401666666666664,25356.291666666668,22.810846114519453,2.0583333333333336
2017-06-02,0.5165579116062923,213244,169448,101248,279923,26473,809311,58.045833333333334,30676.958333333336,23.503609406952986,2.3833333333333333
2017-06-03,0.5527751754631145,140468,170395,108136,252497,22288,711973,54.47625,29223.833333333336,22.578070040899814,2.1083333333333334
2017-06-04,0.5264905835044985,149992,169843,83510,215349,57312,691340,50.47625,28370.625,20.358767893660545,2.3000000000000003
2017-06-05,0.47240495662378146,169414,142665,69560,158782,50092,607591,54.560833333333335,25244.416666666668,19.362057770961165,2
2017-06-06,0.35280644272284656,283201,130307,55273,102826,61990,653140,53.377916666666664,28933.916666666668,21.61339212678937,2.8583333333333334
2017-06-07,0.28828678524884066,368325,142888,50145,127008,21988,731251,55.236666666666665,30771.291666666668,21.897471881390608,1.775
2017-06-08,0.4593234630134999,185282,164792,57795,178768,56972,661782,53.76416666666667,26937.5,23.905020449897776,2.325
2017-06-09,0.36518402413450146,268402,163375,41502,150599,49754,694773,56.62833333333333,31221.541666666664,24.039182004089994,2.2083333333333335
2017-06-10,0.3514307155208979,325529,142951,28447,175791,43703,735576,54.18375,29487.333333333332,24.858450920245417,1.7416666666666667
2017-06-11,0.3809399324142141,324159,120690,37002,197879,32919,730627,50.549166666666665,28152.708333333336,26.496451942740304,1.8666666666666667
2017-06-12,0.19404879246185439,482462,145750,59284,59467,23495,790327,55.00833333333333,30140.916666666668,27.121431492842547,2.125
2017-06-13,0.3297598662697454,341400,144642,64644,110268,58980,737006,56.169583333333335,32383.25,27.185761758691232,2.2333333333333334
2017-06-14,0.2696937035855909,390122,144321,81947,51540,57401,743169,59.159166666666664,32978.75,27.521007157464236,2.1666666666666665
2017-06-15,0.28377327952466647,385310,144148,64772,84762,53539,751304,59.13333333333333,33160.916666666664,27.978448364008198,1.9916666666666667
2017-06-16,0.32968302561373697,362429,144147,70804,120369,52117,768611,57.757083333333334,33165.541666666664,28.232617586912085,1.8416666666666668
2017-06-17,0.32911436010644557,314192,144144,61516,105620,51660,696694,55.53,30545.375,29.002126789366066,2.1416666666666666
2017-06-18,0.3211102291909388,285630,144073,55410,90881,50480,646317,56.312916666666666,28141.958333333332,28.590283742331298,2.2583333333333333
2017-06-19,0.314463901133441,384435,143943,55451,136996,43435,784249,59.639583333333334,33142.75,27.431132413087948,2.6
2017-06-20,0.2566546232806482,445329,143964,60529,86425,49838,804591,59.975833333333334,33739.916666666664,26.758466257668733,2.2333333333333334
2017-06-21,0.2153252480705623,471545,139671,66483,39461,53744,789090,62.742916666666666,33743.75,27.504944274028645,2.275
2017-06-22,0.2113599510018023,477678,142768,54818,46721,55894,796764,61.76541666666667,33802.5,28.04301124744378,2.375
2017-06-23,0.24307121814441157,428760,144042,51567,64700,59514,767487,58.843333333333334,32883.416666666664,27.959389059304723,2.3166666666666664
2017-06-24,0.2792649862409292,345493,144041,49605,84661,48549,690817,56.85541666666667,29280.958333333332,27.072602249488774,2.3916666666666666
2017-06-25,0.2796876788936531,298508,140064,52360,85592,25693,620131,53.1875,27060.208333333332,25.693108384458096,2.425
2017-06-26,0.2694263264048806,378882,124002,57528,65772,54537,699579,60.66,31625.666666666664,24.852177914110445,2.658333333333333
2017-06-27,0.3832055331724765,296447,132042,53540,157801,49098,707876,57.784166666666664,31815,24.093660531697356,2.841666666666667
2017-06-28,0.5640396054605643,176483,137089,68673,297136,40229,739191,51.437916666666666,30764.625,23.36830010224951,5.216666666666667
2017-06-29,0.5217034239748432,196380,135910,74634,233996,52335,712330,51.95291666666667,29228.708333333332,20.57419989775052,5.333333333333333
2017-06-30,0.4553432214638135,208816,139481,58492,173523,55829,655466,52.13041666666667,28570.041666666668,19.756963190184063,3.2333333333333334
2017-07-01,0.29013010916092,289784,170408,75737,82517,22645,660676,50.83,27692.583333333336,19.867714723926394,3.091666666666667
2017-07-02,0.4414669941148276,272982,170535,108088,224555,13587,809492,49.62083333333334,30900.041666666668,21.93109632221372,2.35
2017-07-03,0.5039551863076795,173486,170291,105327,207807,32646,709069,54.596666666666664,29574.416666666668,24.75652862985686,2.341666666666667
2017-07-04,0.43151905532179796,175037,169649,96199,105417,57602,620063,55.50625,28186.25,25.8198619631902,2.4583333333333335
2017-07-05,0.37184110127533004,182657,145111,61382,68566,60390,535234,54.943333333333335,23000.25,25.700570040899823,2.9583333333333335
2017-07-06,0.3092276899717027,299681,142423,51629,76653,63350,652005,58.66375,29415.416666666668,23.010536809815974,2.4
2017-07-07,0.3001038322680206,362181,142821,50040,124487,34178,734839,56.55916666666667,30317.541666666668,22.432211145194284,2.475
2017-07-08,0.33821814124346183,298913,164393,55314,126443,48264,711594,53.725833333333334,31226.291666666664,23.07605061349695,2.8833333333333333
2017-07-09,0.32466852316443356,285790,159924,46938,113987,46285,674029,52.544583333333335,30852.708333333332,24.498341002045006,2.5166666666666666
2017-07-10,0.31513578915144536,269931,143392,28599,112593,42296,617391,55.19625,25830.25,25.177690439672816,2.283333333333333
2017-07-11,0.3322214535806769,375843,120582,39875,167123,33378,754578,56.72625,29278.75,25.764151329243376,1.925
2017-07-12,0.24306894300416917,425157,154935,69098,88302,20614,778092,56.75416666666666,31038.25,27.345986707566475,1.975
2017-07-13,0.26253539874978793,422437,134944,62311,77472,49579,766270,59.74625,34013.583333333336,28.51461145194276,2.1083333333333334
2017-07-14,0.32932987718511425,381787,139335,39181,155750,53162,789318,56.385,33655.458333333336,28.186265337423333,2.441666666666667
2017-07-15,0.37895718661803623,287962,141881,41845,158903,55422,705457,53.014583333333334,29900.291666666668,27.585048568507172,2.2833333333333337
2017-07-16,0.3811690262240691,259930,141725,53201,130421,58004,662483,53.38791666666667,27279.625,27.918123721881408,2.1
2017-07-17,0.3267350999106139,364144,141612,41036,156527,41007,762982,56.13166666666667,32670.416666666664,27.67163599182005,2.2666666666666666
2017-07-18,0.36503600852317636,352855,141518,45009,191853,41094,790785,56.077083333333334,33621.125,28.12669478527609,2.683333333333333
2017-07-19,0.3215952943086748,368959,141685,43674,138009,52643,763671,55.8775,33198.041666666664,26.886551635991836,3.0166666666666666
2017-07-20,0.2873631417351725,373053,141734,45089,96912,57087,733149,56.147083333333335,32173.25,25.56860173824133,2.691666666666667
2017-07-21,0.27965398082379245,353535,141943,46015,79974,57626,698574,56.1275,31394.583333333332,25.000531697341525,2.7583333333333333
2017-07-22,0.29512224986036495,271157,141731,40726,64900,59194,596197,54.34708333333333,28143.708333333332,25.132292944785295,2.0083333333333333
2017-07-23,0.3201938421808662,237598,138918,41720,72864,55528,564583,52.8125,25744.166666666668,25.679902862985706,2.166666666666667
2017-07-24,0.37387215091161935,272633,142102,51836,130083,59027,674514,55.505,30180.75,25.381653885480585,2.4166666666666665
2017-07-25,0.38000570976548326,267485,142587,42954,141937,58920,672532,54.84791666666666,30193.5,24.432073108384476,2.533333333333333
2017-07-26,0.2798250140213124,331920,142481,48581,70596,56215,668625,57.47625,31284.125,24.722816973415146,1.975
2017-07-27,0.24750021438984648,377154,141902,50029,55961,55773,699660,60.76,32372.333333333336,26.90155163599184,2.1833333333333336
2017-07-28,0.24479324783338394,378222,141452,41790,60688,56486,698324,57.64458333333333,32481.166666666668,27.839555214723944,2.2333333333333334
2017-07-29,0.32747405164243276,286688,141671,41585,102527,56454,648885,54.717083333333335,29395.25,27.555490797546035,1.9333333333333333
2017-07-30,0.32735649071601874,254367,145862,42754,89940,54927,607121,51.01625,27130.75,27.315731083844597,2.1916666666666664
2017-07-31,0.28998265263738837,334031,151801,40140,97044,53306,695783,55.141666666666666,30800.458333333336,26.68395961145195,2.683333333333333
2017-08-01,0.3201821964452989,263776,170538,58585,116171,23406,652263,56.53791666666667,27146.041666666664,26.098356339468324,2.025
2017-08-02,0.4581071744627424,284369,170518,106363,241709,33320,855409,56.99375,31214.958333333332,27.11565184049082,1.7333333333333334
2017-08-03,0.3801908383288499,219748,170430,110985,82683,39474,642743,57.272083333333335,29096.291666666668,28.00379831288344,1.8166666666666667
2017-08-04,0.4027221595332441,176620,156596,78435,84893,58249,571605,56.51,25438.083333333332,29.549491308793478,1.85
2017-08-05,0.3898163203954285,213783,145130,73439,91959,60319,602081,52.8625,27370,29.962489775051143,2.3333333333333335
2017-08-06,0.36288664385341124,276515,144170,56194,124074,53849,673585,49.18666666666667,29983.083333333332,28.04813905930472,2.658333333333333
2017-08-07,0.30473945960833654,302540,132577,44458,94309,44327,639018,54.757083333333334,27046.083333333332,27.627425869120668,2.708333333333333
2017-08-08,0.36856578203620094,281754,165241,49882,150688,54132,720037,52.89541666666667,30700.583333333332,25.53658231083846,2.7
2017-08-09,0.266413240229833,298153,162469,45343,66362,47044,640291,52.4725,29836.416666666668,22.658113496932533,3.125
2017-08-10,0.270025126321893,270270,143503,35474,67413,42264,579472,51.840833333333336,23833.541666666668,20.64571830265848,2.7083333333333335
